নাম/পদবী,সম্ভাব্য ধর্ম
মংক্যছা,আদিবাসী
মংছেনক্য,আদিবাসী
মংক্যচিং,আদিবাসী
উক্যথেন,আদিবাসী
উমাচিং,আদিবাসী
ক্যি,আদিবাসী
মাখিংওয়ান,আদিবাসী
মংম্মাছিং,আদিবাসী
ক্যছিং,আদিবাসী
অংছেন,আদিবাসী
ক্যাচিং,আদিবাসী
উম্যাছিং,আদিবাসী
ম্মাখিং,আদিবাসী
আনাং,আদিবাসী
আউসাং,আদিবাসী
মেছিং,আদিবাসী
এখ্যাইচিং,আদিবাসী
সাংমে,আদিবাসী
মংহলা,আদিবাসী
ছেনমং,আদিবাসী
মংক্যম্মা,আদিবাসী
মংছিং,আদিবাসী
মংএছিং,আদিবাসী
অংছেনচিং,আদিবাসী
ছেনচিং,আদিবাসী
হলাখিং,আদিবাসী
উখিংমে,আদিবাসী
প্রুমাসে,আদিবাসী
মাছাচিং,আদিবাসী
চেং,আদিবাসী
মাম্মাচিং,আদিবাসী
শামছুননাহার,মুসলমান
জয়বাহার,মুসলমান
উছেনমং,আদিবাসী
মংম্মাওয়ান,আদিবাসী
উছামং,আদিবাসী
ক্যম্মাউ,আদিবাসী
উক্যম্মা,আদিবাসী
আপ্রুরী,আদিবাসী
এছাচিং,আদিবাসী
থোইনমং,আদিবাসী
এমং,আদিবাসী
দিলবাহার,মুসলমান
বদরুদ্দোজা,মুসলমান
মংথিন,আদিবাসী
কাতুন,মুসলমান
রোসন,খ্রিস্টান
সেনোয়ারা,মুসলমান
জুলাস,মুসলমান
আমিরেন্নেছা,মুসলমান
সফিউল,মুসলমান-দুর্বল
সচিন্দ্র,হিন্দু
শামসুনাহার,মুসলমান
ঙ্গরুদাস,হিন্দু
আচার্য্যী,হিন্দু
ভট্টাচার্যী,হিন্দু
ভট্টযাচার্য্য,হিন্দু
শুক্লাদাশ,হিন্দু
মুৎসুর্দ্দী,হিন্দু
রবিবালা,হিন্দু
রনবালা,হিন্দু
জুলন,মুসলমান
সত্যবালা,হিন্দু
প্রিয়ংকা,আদিবাসী
তাজনুর,মুসলমান-দুর্বল
খোসনেহার,মুসলমান
এডিসন,খ্রিস্টান
ভট্টযাচার্য,হিন্দু
রিচার্ডসেন,খ্রিস্টান
তফুরেন্নেছা,মুসলমান
ফরিদুন্নেছা,মুসলমান
করিমজান,মুসলমান
ফয়জুন্নেসা,মুসলমান
চন্দ্রভান,হিন্দু
আরশাদুল,মুসলমান-দুর্বল
তংঞ্চঁঙ্গ্যা,আদিবাসী
তংচংঙ্গা,আদিবাসী
বয়ৎেলাং,আদিবাসী
তংঞ্চংগ্যা,আদিবাসী
নুচিং,আদিবাসী
তংচংঙ্গঁ্যা,আদিবাসী
মংচ,আদিবাসী
উম্মামং,আদিবাসী
খ্যায়াং,আদিবাসী
তংচঁঙ্গ্যা,আদিবাসী
চেও,আদিবাসী
বেগমী,মুসলমান
বালামী,হিন্দু
রববানু,মুসলমান
আরজাহান,মুসলমান
সামসুনেহার,মুসলমান
ফুলনাহার,মুসলমান
মিয়াচান,মুসলমান-দুর্বল
পাংখু,আদিবাসী
পাংখূয়া,আদিবাসী
জীবন্নেছা,মুসলমান
তংঞ্চ্যা,আদিবাসী
গৌড়ি,হিন্দু
আঃখালেক,মুসলমান
খাতেমুন্নেছা,মুসলমান
মাশেদা,মুসলমান
নুরিসলাম,মুসলমান-দুর্বল
দূর্জয়,হিন্দু
সনজু,হিন্দু
কুসনাহার,মুসলমান
নূরেন্নেছা,মুসলমান
নুরুজামান,মুসলমান
মাজারুল,মুসলমান-দুর্বল
আয়তুন্নেছা,মুসলমান
মেহেরুনন্নেছা,মুসলমান
থাতুন,মুসলমান
জমশেদ,মুসলমান
সজিত,হিন্দু
ইছনাহার,মুসলমান
মরবানু,মুসলমান
আলতাফুন্নেছা,মুসলমান
আজিবুর,মুসলমান-দুর্বল
সিতারা,মুসলমান
ঙ্গলেনুর,মুসলমান-দুর্বল
ছিদ্দীক,মুসলমান
দিলজাহান,মুসলমান
জায়তুন,মুসলমান
নূরইসলাম,মুসলমান
মলিন্দ্র,হিন্দু
তৈবুর,মুসলমান-দুর্বল
নুরুননেছা,মুসলমান
মংথান,আদিবাসী
নুরুলহক,মুসলমান
জয়রন,হিন্দু
মঞ্জনা,হিন্দু
রবিনসন,খ্রিস্টান
বেলাতুন,মুসলমান
আলফ্রেড,খ্রিস্টান
আজাফর,মুসলমান
শিমসাং,আদিবাসী
ওয়ারা,মুসলমান-দুর্বল
যতিন্দ্র,হিন্দু
মুঞ্জুরানী,হিন্দু
চানমিয়া,মুসলমান-দুর্বল
জয়মুন,হিন্দু
মাজেদুর,মুসলমান
আংঙ্গরি,আদিবাসী
সত্যেন্দ্র,হিন্দু
ফজিলাতুন্নেসা,মুসলমান
নূরমোহাম্মদ,মুসলমান
ওছপেয়ারা,মুসলমান-দুর্বল
রিক্সন,খ্রিস্টান
আজিরুন্নেছা,মুসলমান
গোলেনূর,মুসলমান
কহেনুর,মুসলমান-দুর্বল
নাইমুল,মুসলমান
ইছিরন,মুসলমান
লুৎফুন্নেসা,মুসলমান
শাহানূর,মুসলমান
বিজেন্দ্র,হিন্দু
মিতারানী,হিন্দু
নুননাহার,মুসলমান
আজাহান,মুসলমান
আনজুআরা,মুসলমান
চক্রবর্ত্রী,হিন্দু
এ্যাটকিনসন,খ্রিস্টান
বরজাহান,মুসলমান
এছহাক,মুসলমান
এলানুর,মুসলমান-দুর্বল
আলিমুন্নেছা,মুসলমান
জুলিয়ানা,খ্রিস্টান
মানকিং,আদিবাসী
আয়াতুন,মুসলমান
শ্রীদেবী,হিন্দু
মনতাজুল,মুসলমান
গোবিন্দা,হিন্দু
নারায়নাম্মা,হিন্দু
আমাতুন,মুসলমান
রহিতুন,মুসলমান
চন্দ্রদাস,হিন্দু
শহিতুন,মুসলমান
সহিদুল্যা,মুসলমান
গৌরদাসী,হিন্দু
শহিদুল্যাহ,মুসলমান
চানবাহার,মুসলমান
মহিবুর,মুসলমান-দুর্বল
হাকিমুন,মুসলমান
নাজমুননাহার,মুসলমান
গোলনুর,মুসলমান-দুর্বল
হরিদাশী,হিন্দু
মুরশেদ,মুসলমান
অছিরন,মুসলমান
জাহানী,মুসলমান
ফজলাল,মুসলমান
বেগমম,মুসলমান
মানিক্য,আদিবাসী
জামসেদা,মুসলমান
সাহাজুল,মুসলমান
হাকিদার,মুসলমান
অংচান,আদিবাসী
মংমেন,আদিবাসী
চোমং,আদিবাসী
উলাচিং,আদিবাসী
চোচিং,আদিবাসী
মংতেন,আদিবাসী
মংচো,আদিবাসী
মাতোয়ারা,মুসলমান-দুর্বল
স্বরেসতী,হিন্দু
রামনাথ,হিন্দু
হাছনুর,মুসলমান-দুর্বল
তাসনুর,মুসলমান-দুর্বল
নুরজামান,মুসলমান
শাইনুর,মুসলমান-দুর্বল
নুরেমা,মুসলমান-দুর্বল
আলতাবানু,মুসলমান
লংফুল,আদিবাসী
সোহানুর,মুসলমান-দুর্বল
সাফিউল,মুসলমান-দুর্বল
নূরানী,মুসলমান
আব্দুল্লযাহ,মুসলমান
ফজলি,মুসলমান
মানবী,মুসলমান
নুরজাহানী,মুসলমান
খোদবানু,মুসলমান
বিশ্বর্শমা,হিন্দু
খুদবানু,মুসলমান
দীপেন্দ্র,হিন্দু
দিদারুল,মুসলমান-দুর্বল
সত্যজিত,হিন্দু
হেমেন্দ্র,হিন্দু
আনছারুল,মুসলমান-দুর্বল
ফিলিপস,খ্রিস্টান
সমনাথ,হিন্দু
রাজিন্দ্র,হিন্দু
মোহাদেব,হিন্দু
গীরেন্দ্র,হিন্দু
লক্ষিরানী,হিন্দু
সুবারানী,হিন্দু
মিনুবালা,হিন্দু
তিলেশ্বরী,হিন্দু
বেজবালা,হিন্দু
শুকবালা,হিন্দু
জয়মতি,হিন্দু
আইদুল,মুসলমান
জহিরান,মুসলমান
ইন্দবালা,হিন্দু
রামেন্দ্র,হিন্দু
রজিত,হিন্দু
নুরনিহার,মুসলমান
হাপিজুল,মুসলমান
ধনদেব,হিন্দু
ফুলস্বরি,হিন্দু
তিলশ্বরী,হিন্দু
ধনস্বরী,হিন্দু
মজিত,হিন্দু
সিরাতুন,মুসলমান
দয়াবালা,হিন্দু
যশবালা,হিন্দু
বুধোবালা,হিন্দু
রুপবালা,হিন্দু
বালাশ্বরী,হিন্দু
মোজাহারুল,মুসলমান-দুর্বল
নুনিবালা,হিন্দু
আরাবী,মুসলমান
আরফাতুন,মুসলমান
আতারুল,মুসলমান-দুর্বল
আজিদুল,মুসলমান-দুর্বল
আতোয়ারা,মুসলমান-দুর্বল
জাহিনুর,মুসলমান-দুর্বল
বিন্দেশ্বরী,হিন্দু
করিমুল,মুসলমান
ফূলশ্বরী,হিন্দু
ফুলোরানী,হিন্দু
এজারুল,মুসলমান-দুর্বল
আলতানুর,মুসলমান
পরবালা,হিন্দু
এজাজুল,মুসলমান
রিখিয়েশন,খ্রিস্টান
খগেন্দ্রনাথ,হিন্দু
শমেশ্বরী,হিন্দু
শূশীল,হিন্দু
গিরবালা,হিন্দু
পছিরন,মুসলমান
পমেশ্বরী,হিন্দু
বিরেন্দ্রনাথ,হিন্দু
দেবেশ্বরী,হিন্দু
বিশোদীনি,হিন্দু
শ্বর,হিন্দু
কুমোবালা,হিন্দু
সত্যন্দ্র,হিন্দু
সৈবুর,মুসলমান-দুর্বল
সহারবানু,মুসলমান
অজেনুর,মুসলমান-দুর্বল
বাইরুল,মুসলমান-দুর্বল
রুলেখা,মুসলমান-দুর্বল
জয়কুমার,হিন্দু
জয়েন্তী,হিন্দু
শ্রীমন্ত,হিন্দু
শ্রীপতি,হিন্দু
জিয়াবুর,মুসলমান-দুর্বল
নুবাহার,মুসলমান
আলিয়ারা,মুসলমান-দুর্বল
ফিনিয়ারা,মুসলমান-দুর্বল
জাহান্নুর,মুসলমান
নুরমহল,মুসলমান-দুর্বল
ফিকিমন,মুসলমান
মনোরানী,হিন্দু
মহাশ্বরী,হিন্দু
যোগেন্দ্রনাথ,হিন্দু
গয়ানাথ,হিন্দু
শ্রীবালা,হিন্দু
হীরেন্দ্রনাথ,হিন্দু
নিমোশ্বরী,হিন্দু
অজিন্দ্র,হিন্দু
লক্ষিন্দ্র,হিন্দু
সন্তষ,হিন্দু
ধলেশ্বরী,হিন্দু
উপেন্দ্রনাথ,হিন্দু
হাসবালা,হিন্দু
ভূজেন্দ্রনাথ,হিন্দু
বুদোবালা,হিন্দু
গ্যারোময়ী,আদিবাসী
কুঞ্জুবালা,হিন্দু
দুকেশ্বরী,হিন্দু
গফিরন্নেছা,মুসলমান
ঝুমোবালা,হিন্দু
ফুলেশ্বর,হিন্দু
দীনমই,হিন্দু
নীরোবালা,হিন্দু
হিদ্দেশ্বরী,হিন্দু
নণীবালা,হিন্দু
প্রমেশ্বর,হিন্দু
ছদ্দিমিয়া,মুসলমান-দুর্বল
নিভারানী,হিন্দু
মাছিয়াং,আদিবাসী
দেশুওয়ারা,মুসলমান-দুর্বল
তেং,আদিবাসী
টেং,আদিবাসী
ইয়াংয়ূং,আদিবাসী
লাংস্টাং,আদিবাসী
খংপ্ডা,আদিবাসী
খংনো,আদিবাসী
তঙ্গঁলা,আদিবাসী
বেগম্যান,মুসলমান
কেনটেং,আদিবাসী
সুইটিং,আদিবাসী
দেবর্বমা,হিন্দু
চং,আদিবাসী
রিকেআসন,খ্রিস্টান
ফারঙ্গশন,খ্রিস্টান
কেওয়ারা,মুসলমান-দুর্বল
সুরাতুন্নেছা,মুসলমান
মিংকু,আদিবাসী
নাহারুল,মুসলমান
মানোয়ারা,মুসলমান-দুর্বল
তহিদুর,মুসলমান
বেনুয়ারা,মুসলমান-দুর্বল
বানুয়ারা,মুসলমান
শাহাজুল,মুসলমান
শফিরুল,মুসলমান-দুর্বল
পপিয়ারা,মুসলমান-দুর্বল
নিহারুন,মুসলমান
নেহারন,মুসলমান
সানারুল,মুসলমান-দুর্বল
ইয়ারুন্নেছা,মুসলমান
উমারানী,হিন্দু
ওছিরন,মুসলমান
ইনতাদুল,মুসলমান-দুর্বল
হাসানুল,মুসলমান
আকরামুল,মুসলমান
গরিবুল্লা,মুসলমান
লুৎফার,মুসলমান
জামরুল,মুসলমান-দুর্বল
মারজুল,মুসলমান
জিন্নাতুন্নেছা,মুসলমান
মুখ্যার্জী,হিন্দু
বাহারোন,মুসলমান
তুলাদাসী,হিন্দু
অথৈ,আদিবাসী
বেলোয়ারা,মুসলমান-দুর্বল
আবুবক্রর,মুসলমান
জুহুরুল,মুসলমান-দুর্বল
রশেদা,মুসলমান
রাফায়েল,খ্রিস্টান
সারজুল,মুসলমান
সিদ্ধিশ্বর,হিন্দু
গৃবালা,হিন্দু
রাজমুল,মুসলমান
নবীরুল,মুসলমান-দুর্বল
আঞ্জুমনোয়ারা,মুসলমান-দুর্বল
ইসলম,মুসলমান
সাহাবুর,মুসলমান-দুর্বল
ইনুবালা,হিন্দু
পোদদার,হিন্দু
মবিদুল,মুসলমান-দুর্বল
কেশন,খ্রিস্টান
লিবিয়া,মুসলমান-দুর্বল
ফারুকহোসেন,মুসলমান
ফ্রাস্পিস্কা,খ্রিস্টান
শামিউল,মুসলমান-দুর্বল
আবুবকরসিদ্দিক,মুসলমান
শিখানুর,মুসলমান-দুর্বল
জীবুন্নেছা,মুসলমান
মলংগী,আদিবাসী
লাকিয়ারা,মুসলমান-দুর্বল
মানারুল,মুসলমান-দুর্বল
সত্যেন্দ্রনাথ,হিন্দু
নিছারোন,মুসলমান
সেবাদাসী,হিন্দু
সন্দেশ,হিন্দু
সাবিরুল,মুসলমান-দুর্বল
নুজরুল,মুসলমান-দুর্বল
আনেহার,মুসলমান
জানেহার,মুসলমান
স্বর্নমনি,হিন্দু
এ্যাসেনসন,খ্রিস্টান
আমিরননেছা,মুসলমান
অমেদুল,মুসলমান-দুর্বল
শামিনুর,মুসলমান-দুর্বল
নুরজাহন,মুসলমান-দুর্বল
কামারুল,মুসলমান-দুর্বল
প্রিয়ারুল,মুসলমান-দুর্বল
পচিবালা,হিন্দু
দূর্গাপদ,হিন্দু
পাংকোয়া,আদিবাসী
আব্দুল্যাহ,মুসলমান
নিয়াজুল,মুসলমান
শুকদেব,হিন্দু
সরজিত,হিন্দু
ছায়দুল,মুসলমান-দুর্বল
রাধাবালা,হিন্দু
কালীদাসী,হিন্দু
কালিদাসি,হিন্দু
মায়েছিং,আদিবাসী
থুইমং,আদিবাসী
ক্যনাই,আদিবাসী
আলোয়ারা,মুসলমান-দুর্বল
আলিমুননেছা,মুসলমান
এছিংমে,আদিবাসী
চিংমে,আদিবাসী
অংমাচিন,আদিবাসী
উচিং,আদিবাসী
আমাসাং,আদিবাসী
মাখিংছেন,আদিবাসী
খিংউমে,আদিবাসী
মাছিংলা,আদিবাসী
উখিংছেন,আদিবাসী
চিংনু,আদিবাসী
ক্যমে,আদিবাসী
খিংছেনমে,আদিবাসী
খিংম্মা,আদিবাসী
ম্মাত্রখিং,আদিবাসী
অংক্যম্মা,আদিবাসী
খিংমং,আদিবাসী
লামংছিং,আদিবাসী
ওয়ানমং,আদিবাসী
চেংলামং,আদিবাসী
অংসাই,আদিবাসী
মংটেনচিং,আদিবাসী
সামং,আদিবাসী
মংছাছিং,আদিবাসী
মংএছেন,আদিবাসী
মংলাছিং,আদিবাসী
মংখিং,আদিবাসী
ক্যএমং,আদিবাসী
অংছিন,আদিবাসী
উখিংমং,আদিবাসী
আউমং,আদিবাসী
অংক্যচিং,আদিবাসী
উচিমং,আদিবাসী
ক্যচু,আদিবাসী
ক্যটিন,আদিবাসী
ছেংলুন,আদিবাসী
লাইং,আদিবাসী
থৈইন,আদিবাসী
থৈন,আদিবাসী
ক্যএ,আদিবাসী
নূরুচ্ছফা,মুসলমান
হলাওয়াংচিং,আদিবাসী
ক্যাংমং,আদিবাসী
মংখ্যাই,আদিবাসী
উছাচিং,আদিবাসী
এছামং,আদিবাসী
মংম্মাচিং,আদিবাসী
অংছিংমং,আদিবাসী
মাছেংনু,আদিবাসী
উছংচিং,আদিবাসী
মাসাংপ্রু,আদিবাসী
নাংরী,আদিবাসী
আছেং,আদিবাসী
আক্যাই,আদিবাসী
সুইনাংচিং,আদিবাসী
য়াইং,আদিবাসী
ছেং,আদিবাসী
আথেইং,আদিবাসী
মংচিংম্মা,আদিবাসী
অংছিং,আদিবাসী
ক্যছা,আদিবাসী
ছেংলুং,আদিবাসী
লাচিং,আদিবাসী
মংচম্মা,আদিবাসী
টিং,আদিবাসী
মংছেনচিং,আদিবাসী
উখ্যাই,আদিবাসী
উক্যওয়ান,আদিবাসী
মাচেনুং,আদিবাসী
উছেনচিং,আদিবাসী
হলাছিং,আদিবাসী
ক্যচিং,আদিবাসী
খ্যাই,আদিবাসী
মাঅং,আদিবাসী
ক্রাছংচিং,আদিবাসী
অংমা,আদিবাসী
মাছিংপ্রু,আদিবাসী
লুংচিং,আদিবাসী
ছেংম্মামে,আদিবাসী
চখিং,আদিবাসী
নুরুচ্ছাবা,মুসলমান
উখ্যাচিং,আদিবাসী
মংতিন,আদিবাসী
বামং,আদিবাসী
থোয়াইন,আদিবাসী
লাং,আদিবাসী
অংক্যছা,আদিবাসী
অংটি,আদিবাসী
নিমং,আদিবাসী
আচিং,আদিবাসী
লামেচিং,আদিবাসী
কিং,আদিবাসী
তঞ্চঁগ্যা,আদিবাসী
চিংম্মা,আদিবাসী
অংজেন,আদিবাসী
মাম্মাছিং,আদিবাসী
এখিং,আদিবাসী
ইমং,আদিবাসী
ছৈয়দা,মুসলমান
হাছনেয়ারা,মুসলমান-দুর্বল
পলিরানী,হিন্দু
সন্তু,হিন্দু
অংম্মাথোইন,আদিবাসী
মংহেনচিং,আদিবাসী
অংছা,আদিবাসী
ক্যামে,আদিবাসী
ঞোমাচিং,আদিবাসী
আচিংমে,আদিবাসী
মংছেনউ,আদিবাসী
চিংম্মামং,আদিবাসী
বুসাং,আদিবাসী
উক্যথোইন,আদিবাসী
উমংক্য,আদিবাসী
ক্যম্মাইন,আদিবাসী
মংসেপ্রু,আদিবাসী
উক্যহলাইন,আদিবাসী
খাইনক্যলং,আদিবাসী
উক্যলাইন,আদিবাসী
অংছাচিং,আদিবাসী
ছেংয়াইনমে,আদিবাসী
অংমাউ,আদিবাসী
মাচিংয়াইন,আদিবাসী
মাঅংচিং,আদিবাসী
মাছেননুং,আদিবাসী
মাহলানুং,আদিবাসী
অংম্মাক্য,আদিবাসী
ক্যমং,আদিবাসী
আছেনমং,আদিবাসী
খিনমং,আদিবাসী
অংথোইন,আদিবাসী
ক্যহলাচিং,আদিবাসী
উসাইমং,আদিবাসী
মাক্যছেন,আদিবাসী
নুরুচ্ছবি,মুসলমান
মায়েচিং,আদিবাসী
মানেছা,মুসলমান
অংক্যজ,আদিবাসী
ক্যহলাইন,আদিবাসী
মাএচিং,আদিবাসী
থুইচিং,আদিবাসী
মংফ্রুরি,আদিবাসী
ফ্রুমাসে,আদিবাসী
মংতু,আদিবাসী
ক্যজ,আদিবাসী
লাক্য,আদিবাসী
ফ্রুমাচিং,আদিবাসী
চিংলুং,আদিবাসী
ফ্রুমং,আদিবাসী
আলুমং,আদিবাসী
উক্য,আদিবাসী
উচিংহলা,আদিবাসী
মংম্মাপ্রু,আদিবাসী
এথোয়াই,আদিবাসী
অংথিং,আদিবাসী
ফেয়ারা,মুসলমান-দুর্বল
আলবাহার,মুসলমান
এংরাজ,খ্রিস্টান
জয়ধন,হিন্দু
জানোয়ারা,মুসলমান-দুর্বল
শীব,হিন্দু
খোসনেয়ারা,মুসলমান-দুর্বল
আহাদুল,মুসলমান-দুর্বল
জিন্নতেন্নেছা,মুসলমান
শমিরন,মুসলমান
ভাগ্যরানী,হিন্দু
দাসু,হিন্দু
ছৈয়দুন্নেছা,মুসলমান
কাজবানু,মুসলমান
দেববর্ম্মন,হিন্দু
দেববমন,হিন্দু
মিয়াধন,মুসলমান-দুর্বল
তংঞ্চঙ্গা,আদিবাসী
মংহলাছিং,আদিবাসী
উক্যখাইন,আদিবাসী
পাংকুয়া,আদিবাসী
ছিদ্দীকা,মুসলমান
ধঞ্জয়,হিন্দু
রুন্দ্র,হিন্দু
ভট্টযচার্য্য,হিন্দু
হাকীম,মুসলমান
মোকশেদা,মুসলমান
শুল্কদাস,হিন্দু
সূশীল,হিন্দু
খঅতুন,মুসলমান
ভাগ্যবতি,হিন্দু
প্রেমবালা,হিন্দু
ফটোরানী,হিন্দু
অনন্তবালা,হিন্দু
ভর্টাচার্য,হিন্দু
কামরুন্নিছা,মুসলমান
চক্রবর্বওী,হিন্দু
চক্রবর্ক্তী,হিন্দু
শুক্লাদাস,হিন্দু
শন,খ্রিস্টান
সন্ধাবালা,হিন্দু
পরানী,হিন্দু
কুলেশ্বরী,হিন্দু
সুরঞ্জন,হিন্দু
অন্নবালা,হিন্দু
মঞ্জুআরা,মুসলমান
তাহেরুন্নেছা,মুসলমান
জুলহাশ,মুসলমান
মরশেদা,মুসলমান
তংচাংগ্যা,আদিবাসী
তঞ্চাঙ্গা,আদিবাসী
তঞ্চঞ্জ্যা,আদিবাসী
শৈলাবালা,হিন্দু
শ্রীকৃষ্ণ,হিন্দু
গেনেন্দ্র,হিন্দু
আবদুল্যা,মুসলমান
হাসানাত,মুসলমান
বেদারুল,মুসলমান-দুর্বল
মোহাম্মদী,মুসলমান
মায়াদীন,মুসলমান
বালাম,হিন্দু
অঞ্জনী,হিন্দু
রবার্টসন,খ্রিস্টান
তৈয়বুন্নেছা,মুসলমান
শামছুন্নেছা,মুসলমান
ফজিলতেন্নেছা,মুসলমান
আংকুরেন্নেছা,মুসলমান
বেলায়েতেন্নেছা,মুসলমান
আয়াতেন্নেছা,মুসলমান
নিপেন্দ্র,হিন্দু
শহীদুল্যাহ,মুসলমান
উপেন্দ্র,হিন্দু
ইন্দ্রমতি,হিন্দু
সুখদেব,হিন্দু
অনজিত,হিন্দু
কতবানু,মুসলমান
অংথোয়াইচিং,আদিবাসী
মেনুচিং,আদিবাসী
নাইসাংউ,আদিবাসী
তংঞ্চগঁ্যা,আদিবাসী
থোয়াইচিং,আদিবাসী
মেথোয়াই,আদিবাসী
উথোয়াই,আদিবাসী
মাসিংউ,আদিবাসী
সুইম্মাচিং,আদিবাসী
থোয়াইং,আদিবাসী
ম্মানুচিং,আদিবাসী
চাইমেপ্রু,আদিবাসী
এং,খ্রিস্টান
মাসাচিং,আদিবাসী
মাউচিং,আদিবাসী
মানুচিং,আদিবাসী
মানোচিং,আদিবাসী
মংচউ,আদিবাসী
অংম্মাচিং,আদিবাসী
অংছাথুই,আদিবাসী
মংখ্যাইচিং,আদিবাসী
ছোমং,আদিবাসী
ক্যশৈঅং,আদিবাসী
ছানাউল,মুসলমান-দুর্বল
জয়দন,হিন্দু
খুশবানু,মুসলমান
নুরেনা,মুসলমান-দুর্বল
হোসনেহার,মুসলমান
উদাসী,হিন্দু
ঈসমাইল,মুসলমান
খোশবাহার,মুসলমান
তনচঙ্গ্যা,আদিবাসী
তষ্ণঙ্গ্যা,আদিবাসী
তনচংঙ্গা,আদিবাসী
তংষ্ণঙ্গ্যা,আদিবাসী
পেশোয়ারা,মুসলমান-দুর্বল
পাইনুর,মুসলমান-দুর্বল
মদীনা,মুসলমান
সালেমুন্নেছা,মুসলমান
তঁারাবানু,মুসলমান
দুধবানু,মুসলমান
এছনাহার,মুসলমান
নূরুননাহার,মুসলমান
মাজাহারুল,মুসলমান-দুর্বল
আজিমন্নেছা,মুসলমান
ফরজুল,মুসলমান
জয়তননেছা,মুসলমান
নুরজাহার,মুসলমান-দুর্বল
আয়তন্নেছা,মুসলমান
আনোওয়ারা,মুসলমান-দুর্বল
নমদাশ্য,হিন্দু
সনচিতা,হিন্দু
নূরেকা,মুসলমান
খুসনাহার,মুসলমান
ফুলেন্নেছা,মুসলমান
তৈয়বুননেছা,মুসলমান
বেলাতুন্নেছা,মুসলমান
জাফরান,মুসলমান
নুরচঁান,মুসলমান-দুর্বল
নুরনেছা,মুসলমান
হাবিবুররহমান,মুসলমান-দুর্বল
নূরমহল,মুসলমান
বেন্নেছা,মুসলমান
রিংকী,আদিবাসী
খোশেদ,মুসলমান
মহিজুল,মুসলমান
নূরজাহার,মুসলমান
কুহিনূর,মুসলমান
সচিরানী,হিন্দু
পিউরীফিকেসন,খ্রিস্টান
বেগমেন,মুসলমান
সবদুল,মুসলমান-দুর্বল
সমরানী,হিন্দু
মোশের্দুল,মুসলমান-দুর্বল
বরিদাস,হিন্দু
নুরচান,মুসলমান-দুর্বল
মহিতুন্নেছা,মুসলমান
তাইবুর,মুসলমান-দুর্বল
জহোরুল,মুসলমান-দুর্বল
শবদুল,মুসলমান-দুর্বল
উবাইদুল,মুসলমান
বজেন্দ্র,হিন্দু
ফুলখাতুন,মুসলমান
শুরেন্দ্র,হিন্দু
চিচিং,আদিবাসী
সতেন্দ্র,হিন্দু
মোনারুল,মুসলমান-দুর্বল
আগাশন,খ্রিস্টান
আকাশন,খ্রিস্টান
মংখেন,আদিবাসী
আঃমান্নান,মুসলমান
লুৎফুনেছা,মুসলমান
বনোয়ারি,আদিবাসী
রবীউল,মুসলমান-দুর্বল
সরভাগ্য,হিন্দু
মকসেদুল,মুসলমান-দুর্বল
সাহাবানু,মুসলমান
শাহদেব,হিন্দু
জগবালা,হিন্দু
খোসনাহার,মুসলমান
আশিকনুর,মুসলমান-দুর্বল
বজবালা,হিন্দু
শুকুরানী,হিন্দু
ঙ্গপিনাথ,হিন্দু
মুজাফর,মুসলমান
আহাতুন,মুসলমান
স্বরবানু,মুসলমান
ফজলী,মুসলমান
শেরাজুল,মুসলমান
ওমিরন,মুসলমান
আব্দুলাহ,মুসলমান
আয়তুন,মুসলমান
দিলবানু,মুসলমান
ছুবুরা,মুসলমান-দুর্বল
দোলোয়ারা,মুসলমান-দুর্বল
নয়ামিয়া,মুসলমান-দুর্বল
শুদেব,হিন্দু
খোশনবীশ,মুসলমান
প্রভারানী,হিন্দু
সচীন্দ্র,হিন্দু
তাজবানু,মুসলমান
আফ্রিদি,মুসলমান
দিগেন্দ্র,হিন্দু
সুহরোওয়ার্দ্দী,মুসলমান
মহিবুল্লা,মুসলমান
জয়ঙ্গননেছা,মুসলমান
কিরনবালা,হিন্দু
গৌস্বামী,হিন্দু
রিকসন,খ্রিস্টান
উমিয়া,মুসলমান-দুর্বল
রিবিয়ারোও,খ্রিস্টান
ভিনসেন্ট,খ্রিস্টান
আইজ্যাক,খ্রিস্টান
আহাসান,মুসলমান
খরশেদ,মুসলমান
ঙ্গলবাহারী,মুসলমান
পুষ্পরানী,হিন্দু
রামুলাম্মা,মুসলমান
পলসন,খ্রিস্টান
জয়নুব,হিন্দু
জীবননেসা,মুসলমান
জয়সী,হিন্দু
সিংহানিয়া,হিন্দু
আঞ্জনা,হিন্দু
মজিরুন্নেছা,মুসলমান
আসাতুন্নেছা,মুসলমান
হানেছা,মুসলমান
গৌরাংগ,হিন্দু
খাতুনবি,মুসলমান
মমেদুল,মুসলমান-দুর্বল
রব্বানু,মুসলমান
আদরবানু,মুসলমান
রাইবালা,হিন্দু
তাজনাহার,মুসলমান
দেবিন্দ্র,হিন্দু
আইনুর,মুসলমান-দুর্বল
যয়তুন,মুসলমান
শেরজাহান,মুসলমান
মনিদাসী,হিন্দু
জয়নবি,মুসলমান
শহিদুর,মুসলমান
আমিরুননেছা,মুসলমান
ইসমা,মুসলমান
গোবিন্দাম্মা,হিন্দু
দুর্গাম্মা,হিন্দু
চেন্দ,আদিবাসী
ছাবিতুন,মুসলমান
দোজা,মুসলমান
বাবুর্চী,মুসলমান-দুর্বল
দূর্গারাও,হিন্দু
সন্যাশী,হিন্দু
